,_chomagec_cat_faible,_chomagec_cat_grand,_chomagec_cat_moyen,_drug_level_1,_drug_level_2,_drug_level_3,_drug_level_4,_drug_level_5,_drug_level_6,_drug_level_7,_drug_level_9,_drug_level_10,"_deficit_(-0.197, 65.667]","_deficit_(65.667, 131.333]","_deficit_(131.333, 197.0]","_nb_meurtre_(0.108, 24.183]","_nb_meurtre_(24.183, 48.187]","_nb_meurtre_(48.187, 72.19]",Continent
0,0,1,1,1,0,0,0,1,0,0,0,0,1,0,0,1,0,0,Africa
1,0,1,1,1,0,0,0,1,0,0,0,0,1,0,0,1,0,0,Africa
2,0,1,1,1,0,0,0,0,1,0,0,0,1,0,0,1,0,0,Africa
3,0,1,0,1,0,0,0,0,0,0,0,0,1,0,0,1,0,0,Africa
4,1,1,1,1,0,1,1,1,0,0,0,0,1,1,1,1,0,0,Asia
5,1,1,1,1,0,1,1,0,0,0,0,0,1,1,1,1,0,0,Asia
6,1,1,1,1,0,1,0,0,0,0,1,0,1,1,1,1,0,0,Asia
7,1,1,1,1,0,1,1,0,0,0,0,0,1,1,1,1,0,0,Asia
8,1,1,1,1,1,0,0,0,0,0,0,0,1,1,1,1,0,0,Asia
9,1,1,1,1,1,0,1,0,0,1,0,0,1,1,0,1,0,0,Europe
10,1,1,1,1,1,0,0,0,0,1,0,0,1,1,0,1,0,0,Europe
11,1,1,1,1,1,0,0,0,1,0,0,0,1,1,1,1,0,0,Europe
12,1,1,1,1,0,0,0,0,0,1,0,0,1,1,0,1,0,0,Europe
13,1,1,1,1,1,0,0,0,0,1,0,0,1,1,0,1,0,0,Europe
14,1,1,1,1,1,0,0,0,0,0,0,1,1,1,1,1,1,1,North America
15,1,1,1,1,0,0,0,0,0,0,0,1,1,1,1,1,1,0,North America
16,1,1,1,1,0,0,1,0,0,0,0,1,1,1,1,1,1,0,North America
17,0,1,1,1,1,0,0,0,0,0,0,1,1,1,1,1,1,1,North America
18,0,1,1,1,0,0,0,0,0,0,0,1,0,1,0,1,1,0,North America
19,0,0,1,1,0,0,0,0,0,0,0,0,1,0,0,1,0,0,Oceania
20,0,0,1,1,0,0,0,0,0,0,0,0,1,0,0,1,0,0,Oceania
21,0,0,1,1,0,0,0,0,0,0,0,0,1,0,0,1,0,0,Oceania
22,0,0,1,1,1,0,0,0,0,0,0,0,1,0,0,1,0,0,Oceania
23,0,0,1,1,0,1,0,0,0,0,0,0,1,0,0,1,0,0,Oceania
24,1,1,1,1,0,0,0,1,0,0,0,1,1,0,0,1,1,0,South America
25,1,1,1,1,0,0,0,0,0,0,0,1,1,0,0,1,1,0,South America
26,1,0,1,0,0,0,0,1,0,1,0,1,1,1,0,1,1,0,South America
27,0,0,1,1,1,0,0,1,0,0,0,1,1,1,0,1,1,0,South America
28,0,0,1,1,0,0,0,1,1,0,0,1,1,1,0,1,1,0,South America
